NA	Gene Symbol	NA	dme-miR Family
NA	CG12976	NA	dme-miR-284
NA	CG12976	NA	dme-miR-33
NA	CG12977	NA	dme-miR-957
NA	CG12977	NA	dme-miR-263a
NA	CG12977	NA	dme-miR-124
NA	CG12977	NA	dme-miR-277
NA	CG12984	NA	dme-miR-1002
NA	CG12984	NA	dme-miR-968
NA	CG12984	NA	dme-miR-252
NA	CG12984	NA	dme-miR-263b
NA	CG12984	NA	dme-miR-965
NA	CG12986	NA	dme-miR-190
NA	CG12990	NA	dme-miR-987
NA	CG12990	NA	dme-miR-314
NA	CG12995	NA	dme-miR-2a-1
NA	CG12995	NA	dme-miR-6
NA	CG12995	NA	dme-miR-11
NA	CG12995	NA	dme-miR-13
NA	CG12995	NA	dme-miR-308
NA	CG12996	NA	dme-miR-277
NA	CG12996	NA	dme-miR-1017
NA	CG12996	NA	dme-miR-962
NA	CG12997	NA	dme-miR-263b
NA	CG12997	NA	dme-miR-965
NA	CG13001	NA	dme-miR-8
NA	CG13012	NA	dme-miR-14
NA	CG13023	NA	dme-miR-1000
NA	CG13024	NA	dme-miR-8
NA	CG13024	NA	dme-miR-2a-1
NA	CG13024	NA	dme-miR-6
NA	CG13024	NA	dme-miR-11
NA	CG13024	NA	dme-miR-13
NA	CG13024	NA	dme-miR-308
NA	CG13025	NA	dme-miR-315
NA	CG13026	NA	dme-miR-2a-1
NA	CG13026	NA	dme-miR-6
NA	CG13026	NA	dme-miR-11
NA	CG13026	NA	dme-miR-13
NA	CG13026	NA	dme-miR-308
NA	CG13028	NA	dme-miR-92
NA	CG13028	NA	dme-miR-310
NA	CG13028	NA	dme-miR-311
NA	CG13028	NA	dme-miR-312
NA	CG13028	NA	dme-miR-313
NA	CG13028	NA	dme-miR-9
NA	CG13033	NA	dme-miR-10-3p
NA	CG13033	NA	dme-miR-1006
NA	CG13041	NA	dme-miR-2a-1
NA	CG13041	NA	dme-miR-6
NA	CG13041	NA	dme-miR-11
NA	CG13041	NA	dme-miR-13
NA	CG13041	NA	dme-miR-308
NA	CG13043	NA	dme-miR-2a-1
NA	CG13043	NA	dme-miR-6
NA	CG13043	NA	dme-miR-11
NA	CG13043	NA	dme-miR-13
NA	CG13043	NA	dme-miR-308
NA	CG13043	NA	dme-miR-10-3p
NA	CG13043	NA	dme-miR-1006
NA	CG13046	NA	dme-miR-277
NA	CG13046	NA	dme-miR-31
NA	CG13048	NA	dme-miR-92
NA	CG13048	NA	dme-miR-310
NA	CG13048	NA	dme-miR-311
NA	CG13048	NA	dme-miR-312
NA	CG13048	NA	dme-miR-313
NA	CG13048	NA	dme-miR-9
NA	CG13050	NA	dme-miR-1004
NA	CG13050	NA	dme-miR-1003
NA	CG13055	NA	dme-miR-190
NA	CG13060	NA	dme-miR-8
NA	CG13064	NA	dme-miR-7
NA	CG13067	NA	dme-miR-277
NA	CG1307	NA	dme-miR-137
NA	CG13073	NA	dme-miR-981
NA	CG13073	NA	dme-miR-999
NA	CG13074	NA	dme-miR-33
NA	CG13075	NA	dme-miR-283
NA	CG13075	NA	dme-miR-315
NA	CG13086	NA	dme-miR-968
NA	CG13086	NA	dme-miR-969
NA	CG13097	NA	dme-miR-1002
NA	CG13097	NA	dme-miR-252
NA	CG13101	NA	dme-miR-3
NA	CG13101	NA	dme-miR-309
NA	CG13101	NA	dme-miR-318
NA	CG13101	NA	dme-miR-283
NA	CG13116	NA	dme-miR-8
NA	CG13116	NA	dme-miR-9
NA	CG13120	NA	dme-miR-33
NA	CG13120	NA	dme-miR-315
NA	CG13124	NA	dme-miR-277
NA	CG13124	NA	dme-miR-137
NA	CG13126	NA	dme-miR-277
NA	CG13127	NA	dme-miR-1002
NA	CG13127	NA	dme-miR-968
NA	CG13131	NA	dme-miR-4
NA	CG13131	NA	dme-miR-1017
NA	CG13131	NA	dme-miR-79
NA	CG13133	NA	dme-miR-1011
NA	CG13134	NA	dme-miR-281-1
NA	CG13134	NA	dme-miR-317
NA	CG13134	NA	dme-miR-281-2-3p
NA	CG13136	NA	dme-miR-278
NA	CG13136	NA	dme-miR-193
NA	CG13136	NA	dme-miR-92
NA	CG13136	NA	dme-miR-310
NA	CG13136	NA	dme-miR-311
NA	CG13136	NA	dme-miR-312
NA	CG13136	NA	dme-miR-313
NA	CG13157	NA	dme-miR-125
NA	CG1316	NA	dme-miR-981
NA	CG13165	NA	dme-miR-1000
NA	CG13165	NA	dme-miR-1014
NA	CG13165	NA	dme-miR-2a-1
NA	CG13165	NA	dme-miR-6
NA	CG13165	NA	dme-miR-11
NA	CG13165	NA	dme-miR-13
NA	CG13165	NA	dme-miR-308
NA	CG13165	NA	dme-miR-315
NA	CG13165	NA	dme-miR-2c
NA	CG13165	NA	dme-miR-2a-2
NA	CG13165	NA	dme-miR-960
NA	CG13165	NA	dme-miR-263b
NA	CG13165	NA	dme-miR-957
NA	CG13176	NA	dme-miR-124
NA	CG13183	NA	dme-miR-277
NA	CG13183	NA	dme-miR-987
NA	CG13183	NA	dme-miR-263a
NA	CG13183	NA	dme-miR-14
NA	CG13188	NA	dme-miR-304
NA	CG13189	NA	dme-miR-252
NA	CG13193	NA	dme-miR-1014
NA	CG13193	NA	dme-miR-1006
NA	CG13193	NA	dme-miR-10-3p
NA	CG13198	NA	dme-miR-986
NA	CG13203	NA	dme-miR-277
NA	CG13213	NA	dme-miR-10-3p
NA	CG13213	NA	dme-miR-1006
NA	CG13213	NA	dme-miR-7
NA	CG13213	NA	dme-miR-33
NA	CG13213	NA	dme-miR-92
NA	CG13213	NA	dme-miR-310
NA	CG13213	NA	dme-miR-311
NA	CG13213	NA	dme-miR-312
NA	CG13213	NA	dme-miR-313
NA	CG13226	NA	dme-miR-8
NA	CG13227	NA	dme-miR-2a-1
NA	CG13227	NA	dme-miR-6
NA	CG13227	NA	dme-miR-11
NA	CG13227	NA	dme-miR-13
NA	CG13227	NA	dme-miR-308
NA	CG13229	NA	dme-miR-927
NA	CG13229	NA	dme-miR-1014
NA	CG13235	NA	dme-miR-1014
NA	CG13235	NA	dme-miR-277
NA	CG13235	NA	dme-miR-iab4as
NA	CG13251	NA	dme-miR-33
NA	CG13252	NA	dme-miR-2a-1
NA	CG13252	NA	dme-miR-6
NA	CG13252	NA	dme-miR-11
NA	CG13252	NA	dme-miR-13
NA	CG13252	NA	dme-miR-308
NA	CG13252	NA	dme-bantam
NA	CG13253	NA	dme-miR-1000
NA	CG13253	NA	dme-miR-987
NA	CG13255	NA	dme-miR-958
NA	CG13272	NA	dme-miR-4
NA	CG13272	NA	dme-miR-1017
NA	CG13272	NA	dme-miR-iab-4-3p
NA	CG13272	NA	dme-miR-79
NA	CG13272	NA	dme-miR-274
NA	CG13282	NA	dme-miR-993
NA	CG13282	NA	dme-miR-1007
NA	CG13283	NA	dme-miR-957
NA	CG13283	NA	dme-miR-1
NA	CG13287	NA	dme-miR-283
NA	CG13287	NA	dme-miR-31
NA	CG13287	NA	dme-miR-2a-1
NA	CG13287	NA	dme-miR-6
NA	CG13287	NA	dme-miR-11
NA	CG13287	NA	dme-miR-13
NA	CG13287	NA	dme-miR-308
NA	CG13287	NA	dme-miR-981
NA	CG13287	NA	dme-miR-316
NA	CG13287	NA	dme-miR-315
NA	CG13287	NA	dme-miR-92
NA	CG13287	NA	dme-miR-310
NA	CG13287	NA	dme-miR-311
NA	CG13287	NA	dme-miR-312
NA	CG13287	NA	dme-miR-313
NA	CG13287	NA	dme-miR-10-3p
NA	CG13287	NA	dme-miR-1006
NA	CG13287	NA	dme-miR-317
NA	CG13293	NA	dme-miR-315
NA	CG13293	NA	dme-miR-79
NA	CG13293	NA	dme-miR-987
NA	CG13293	NA	dme-miR-iab-4-5p
NA	CG13293	NA	dme-miR-34
NA	CG13293	NA	dme-miR-263b
NA	CG13295	NA	dme-miR-124
NA	CG13296	NA	dme-miR-315
NA	CG13296	NA	dme-miR-1014
NA	CG13296	NA	dme-miR-999
NA	CG13296	NA	dme-miR-2a-1
NA	CG13296	NA	dme-miR-6
NA	CG13296	NA	dme-miR-11
NA	CG13296	NA	dme-miR-13
NA	CG13296	NA	dme-miR-308
NA	CG13296	NA	dme-miR-274
NA	CG13296	NA	dme-miR-2a-2
NA	CG13296	NA	dme-miR-2c
NA	CG13296	NA	dme-miR-219
NA	CG13296	NA	dme-miR-210
NA	CG13296	NA	dme-miR-969
NA	CG13300	NA	dme-miR-92
NA	CG13300	NA	dme-miR-310
NA	CG13300	NA	dme-miR-311
NA	CG13300	NA	dme-miR-312
NA	CG13300	NA	dme-miR-313
NA	CG13300	NA	dme-miR-1002
NA	CG13300	NA	dme-miR-305
NA	CG13300	NA	dme-miR-190
NA	CG13300	NA	dme-miR-219
NA	CG13300	NA	dme-miR-277
NA	CG13300	NA	dme-miR-1000
NA	CG13300	NA	dme-miR-10-5p
NA	CG13300	NA	dme-miR-279
NA	CG13300	NA	dme-miR-286
NA	CG13300	NA	dme-miR-996
NA	CG13300	NA	dme-miR-1014
NA	CG13300	NA	dme-miR-1
NA	CG13300	NA	dme-miR-10-3p
NA	CG13300	NA	dme-miR-1006
NA	CG13300	NA	dme-miR-252
NA	CG13300	NA	dme-miR-9
NA	CG13305	NA	dme-miR-988
NA	CG13310	NA	dme-miR-927
NA	CG13310	NA	dme-miR-305
NA	CG13310	NA	dme-miR-964
NA	CG13313	NA	dme-miR-316
NA	CG13314	NA	dme-miR-124
NA	CG13315	NA	dme-miR-276
NA	CG1332	NA	dme-miR-iab4as
NA	CG1332	NA	dme-miR-210
NA	CG1332	NA	dme-miR-8
NA	CG1332	NA	dme-miR-1000
NA	CG1332	NA	dme-miR-184
NA	CG1332	NA	dme-miR-263b
NA	CG13322	NA	dme-miR-1002
NA	CG13322	NA	dme-miR-252
NA	CG13322	NA	dme-miR-281-2-5p
NA	CG13344	NA	dme-miR-316
NA	CG13344	NA	dme-miR-279
NA	CG13344	NA	dme-miR-286
NA	CG13344	NA	dme-miR-996
NA	CG13344	NA	dme-miR-210
NA	CG13344	NA	dme-miR-283
NA	CG13353	NA	dme-miR-210
NA	CG13353	NA	dme-miR-987
NA	CG13353	NA	dme-miR-283
NA	CG13384	NA	dme-miR-210
NA	CG13384	NA	dme-miR-316
NA	CG13384	NA	dme-miR-1014
NA	CG13384	NA	dme-miR-263b
NA	CG13384	NA	dme-miR-1000
NA	CG13384	NA	dme-miR-10-3p
NA	CG13384	NA	dme-miR-1006
NA	CG13392	NA	dme-miR-277
NA	CG13398	NA	dme-miR-279
NA	CG13398	NA	dme-miR-286
NA	CG13398	NA	dme-miR-996
NA	CG13398	NA	dme-miR-981
NA	CG13398	NA	dme-miR-10-3p
NA	CG13398	NA	dme-miR-1006
NA	CG13404	NA	dme-miR-1000
NA	CG13404	NA	dme-miR-960
NA	CG13407	NA	dme-miR-277
NA	CG13407	NA	dme-miR-980
NA	CG13409	NA	dme-miR-305
NA	CG1342	NA	dme-miR-10-3p
NA	CG1342	NA	dme-miR-1006
NA	CG13424	NA	dme-miR-315
NA	CG13428	NA	dme-miR-1
NA	CG13437	NA	dme-miR-305
NA	CG13437	NA	dme-miR-2a-2
NA	CG13437	NA	dme-miR-2c
NA	CG13437	NA	dme-miR-2a-1
NA	CG13437	NA	dme-miR-6
NA	CG13437	NA	dme-miR-11
NA	CG13437	NA	dme-miR-13
NA	CG13437	NA	dme-miR-308
NA	CG13443	NA	dme-miR-1014
NA	CG13443	NA	dme-miR-932
NA	CG13445	NA	dme-miR-277
NA	CG13465	NA	dme-miR-7
NA	CG13465	NA	dme-miR-2a-1
NA	CG13465	NA	dme-miR-6
NA	CG13465	NA	dme-miR-11
NA	CG13465	NA	dme-miR-13
NA	CG13465	NA	dme-miR-308
NA	CG13465	NA	dme-miR-4
NA	CG13465	NA	dme-miR-965
NA	CG13465	NA	dme-miR-14
NA	CG13466	NA	dme-miR-7
NA	CG1347	NA	dme-miR-315
NA	CG1347	NA	dme-miR-263b
NA	CG13472	NA	dme-miR-314
NA	CG13482	NA	dme-miR-10-3p
NA	CG13482	NA	dme-miR-1006
NA	CG13492	NA	dme-miR-137
NA	CG13492	NA	dme-miR-274
NA	CG13492	NA	dme-miR-314
NA	CG13492	NA	dme-miR-33
NA	CG13500	NA	dme-miR-981
NA	CG13500	NA	dme-let-7
NA	CG13501	NA	dme-miR-9
NA	CG13506	NA	dme-miR-275
NA	CG13506	NA	dme-miR-306
NA	CG13506	NA	dme-miR-964
NA	CG13506	NA	dme-miR-9
NA	CG13506	NA	dme-miR-137
NA	CG13506	NA	dme-miR-927
NA	CG13506	NA	dme-miR-iab4as
NA	CG13506	NA	dme-miR-263b
NA	CG13530	NA	dme-miR-315
NA	CG13530	NA	dme-miR-277
NA	CG13530	NA	dme-miR-4
NA	CG13530	NA	dme-miR-281-2-3p
NA	CG1354	NA	dme-miR-277
NA	CG13541	NA	dme-miR-79
NA	CG13542	NA	dme-miR-92
NA	CG13542	NA	dme-miR-310
NA	CG13542	NA	dme-miR-311
NA	CG13542	NA	dme-miR-312
NA	CG13542	NA	dme-miR-313
NA	CG13542	NA	dme-miR-1011
NA	CG13545	NA	dme-miR-281-2-5p
NA	CG13545	NA	dme-miR-276
NA	CG13551	NA	dme-miR-277
NA	CG13551	NA	dme-miR-4
NA	CG13558	NA	dme-miR-193
NA	CG13561	NA	dme-miR-281-1
NA	CG13561	NA	dme-miR-92
NA	CG13561	NA	dme-miR-310
NA	CG13561	NA	dme-miR-311
NA	CG13561	NA	dme-miR-312
NA	CG13561	NA	dme-miR-313
NA	CG13561	NA	dme-miR-281-2-3p
NA	CG13565	NA	dme-miR-988
NA	CG13575	NA	dme-miR-1010
NA	CG13576	NA	dme-miR-1002
NA	CG13576	NA	dme-miR-252
NA	CG13576	NA	dme-miR-219
NA	CG13578	NA	dme-miR-79
NA	CG13578	NA	dme-miR-4
NA	CG13578	NA	dme-miR-1017
NA	CG13579	NA	dme-miR-1014
NA	CG13579	NA	dme-miR-317
NA	CG13579	NA	dme-miR-2a-1
NA	CG13579	NA	dme-miR-6
NA	CG13579	NA	dme-miR-11
NA	CG13579	NA	dme-miR-13
NA	CG13579	NA	dme-miR-308
NA	CG13579	NA	dme-miR-10-3p
NA	CG13579	NA	dme-miR-1006
NA	CG13579	NA	dme-miR-33
NA	CG13579	NA	dme-miR-315
NA	CG1358	NA	dme-miR-1014
NA	CG1358	NA	dme-miR-4
NA	CG1358	NA	dme-miR-1017
NA	CG1358	NA	dme-miR-307
NA	CG1358	NA	dme-miR-79
NA	CG1358	NA	dme-miR-275
NA	CG1358	NA	dme-miR-306
NA	CG13582	NA	dme-miR-137
NA	CG13589	NA	dme-miR-277
NA	CG13589	NA	dme-miR-304
NA	CG13589	NA	dme-miR-315
NA	CG13589	NA	dme-miR-9
NA	CG1360	NA	dme-miR-210
NA	CG13604	NA	dme-miR-210
NA	CG13604	NA	dme-miR-34
NA	CG13604	NA	dme-miR-14
NA	CG13604	NA	dme-miR-1000
NA	CG13604	NA	dme-miR-iab4as
NA	CG13606	NA	dme-miR-92
NA	CG13606	NA	dme-miR-310
NA	CG13606	NA	dme-miR-311
NA	CG13606	NA	dme-miR-312
NA	CG13606	NA	dme-miR-313
NA	CG13606	NA	dme-miR-4
NA	CG13606	NA	dme-miR-1017
NA	CG13606	NA	dme-miR-79
NA	CG13607	NA	dme-miR-304
NA	CG13607	NA	dme-miR-14
NA	CG13617	NA	dme-miR-iab-4-3p
NA	CG13622	NA	dme-miR-219
NA	CG13624	NA	dme-miR-2a-1
NA	CG13624	NA	dme-miR-6
NA	CG13624	NA	dme-miR-11
NA	CG13624	NA	dme-miR-13
NA	CG13624	NA	dme-miR-308
NA	CG13624	NA	dme-miR-1017
NA	CG13630	NA	dme-miR-4
NA	CG13630	NA	dme-miR-1017
NA	CG13630	NA	dme-miR-79
NA	CG13630	NA	dme-miR-1000
NA	CG13631	NA	dme-miR-282
NA	CG13632	NA	dme-miR-33
NA	CG13634	NA	dme-miR-1017
NA	CG13634	NA	dme-miR-79
NA	CG13634	NA	dme-miR-4
NA	CG13643	NA	dme-miR-8
NA	CG13643	NA	dme-miR-1014
NA	CG13646	NA	dme-miR-4
NA	CG13646	NA	dme-miR-125
NA	CG13646	NA	dme-miR-263b
NA	CG13646	NA	dme-miR-33
NA	CG13646	NA	dme-miR-79
NA	CG13646	NA	dme-miR-1017
NA	CG13646	NA	dme-miR-7
NA	CG13653	NA	dme-miR-92
NA	CG13653	NA	dme-miR-310
NA	CG13653	NA	dme-miR-311
NA	CG13653	NA	dme-miR-312
NA	CG13653	NA	dme-miR-313
NA	CG13672	NA	dme-miR-989
NA	CG13672	NA	dme-miR-263a
NA	CG13672	NA	dme-miR-932
NA	CG13672	NA	dme-miR-210
NA	CG13672	NA	dme-miR-iab-4-5p
NA	CG13674	NA	dme-miR-2a-2
NA	CG13674	NA	dme-miR-2c
NA	CG13674	NA	dme-miR-284
NA	CG13676	NA	dme-miR-960
NA	CG13685	NA	dme-miR-980
NA	CG13685	NA	dme-miR-276
NA	CG13692	NA	dme-miR-9
NA	CG13700	NA	dme-miR-315
NA	CG13700	NA	dme-miR-962
NA	CG13705	NA	dme-miR-1000
NA	CG13705	NA	dme-miR-305
NA	CG13707	NA	dme-miR-960
NA	CG13707	NA	dme-miR-1007
NA	CG13707	NA	dme-miR-993
NA	CG13707	NA	dme-miR-210
NA	CG13708	NA	dme-miR-277
NA	CG13720	NA	dme-miR-277
NA	CG13720	NA	dme-miR-1003
NA	CG13720	NA	dme-miR-1004
NA	CG13720	NA	dme-miR-274
NA	CG13739	NA	dme-miR-210
NA	CG13739	NA	dme-miR-252
NA	CG13743	NA	dme-miR-315
NA	CG13743	NA	dme-miR-276
NA	CG13743	NA	dme-miR-1011
NA	CG13743	NA	dme-miR-190
NA	CG13743	NA	dme-miR-305
NA	CG13743	NA	dme-miR-955
NA	CG13743	NA	dme-miR-275
NA	CG13743	NA	dme-miR-306
NA	CG13743	NA	dme-miR-1007
NA	CG13743	NA	dme-miR-993
NA	CG13744	NA	dme-miR-963
NA	CG13744	NA	dme-miR-315
NA	CG13744	NA	dme-miR-92
NA	CG13744	NA	dme-miR-310
NA	CG13744	NA	dme-miR-311
NA	CG13744	NA	dme-miR-312
NA	CG13744	NA	dme-miR-313
NA	CG13744	NA	dme-miR-1014
NA	CG13748	NA	dme-miR-9
NA	CG13748	NA	dme-miR-263b
NA	CG13748	NA	dme-miR-2a-1
NA	CG13748	NA	dme-miR-6
NA	CG13748	NA	dme-miR-11
NA	CG13748	NA	dme-miR-13
NA	CG13748	NA	dme-miR-308
NA	CG13760	NA	dme-miR-283
NA	CG13760	NA	dme-miR-275
NA	CG13760	NA	dme-miR-306
NA	CG13760	NA	dme-miR-2a-1
NA	CG13760	NA	dme-miR-6
NA	CG13760	NA	dme-miR-11
NA	CG13760	NA	dme-miR-13
NA	CG13760	NA	dme-miR-308
NA	CG13773	NA	dme-miR-305
NA	CG13776	NA	dme-miR-283
NA	CG13784	NA	dme-miR-190
NA	CG13784	NA	dme-miR-7
NA	CG13784	NA	dme-miR-1014
NA	CG13784	NA	dme-miR-10-3p
NA	CG13784	NA	dme-miR-1006
NA	CG13784	NA	dme-miR-283
NA	CG13786	NA	dme-miR-277
NA	CG13792	NA	dme-miR-315
NA	CG13792	NA	dme-miR-2a-1
NA	CG13792	NA	dme-miR-6
NA	CG13792	NA	dme-miR-11
NA	CG13792	NA	dme-miR-13
NA	CG13792	NA	dme-miR-308
NA	CG13792	NA	dme-miR-33
NA	CG13792	NA	dme-miR-1000
NA	CG13796	NA	dme-miR-283
NA	CG13800	NA	dme-miR-263b
NA	CG13810	NA	dme-miR-10-3p
NA	CG13810	NA	dme-miR-1006
NA	CG13810	NA	dme-miR-1014
NA	CG13827	NA	dme-miR-210
NA	CG13830	NA	dme-miR-2a-1
NA	CG13830	NA	dme-miR-6
NA	CG13830	NA	dme-miR-11
NA	CG13830	NA	dme-miR-13
NA	CG13830	NA	dme-miR-308
NA	CG13830	NA	dme-miR-219
NA	CG13830	NA	dme-miR-277
NA	CG13833	NA	dme-miR-33
NA	CG13836	NA	dme-miR-281-2-3p
NA	CG13840	NA	dme-miR-976
NA	CG13840	NA	dme-miR-263b
NA	CG13857	NA	dme-miR-8
NA	CG13857	NA	dme-miR-277
NA	CG13879	NA	dme-miR-87
NA	CG13885	NA	dme-miR-2a-1
NA	CG13885	NA	dme-miR-6
NA	CG13885	NA	dme-miR-11
NA	CG13885	NA	dme-miR-13
NA	CG13885	NA	dme-miR-308
NA	CG13885	NA	dme-miR-963
NA	CG13885	NA	dme-miR-1000
NA	CG13885	NA	dme-miR-10-3p
NA	CG13885	NA	dme-miR-1006
NA	CG13885	NA	dme-miR-219
NA	CG13885	NA	dme-miR-1014
NA	CG13894	NA	dme-miR-8
NA	CG13898	NA	dme-miR-976
NA	CG13907	NA	dme-miR-1000
NA	CG13908	NA	dme-miR-125
NA	CG13908	NA	dme-miR-263b
NA	CG13908	NA	dme-miR-7
NA	CG13908	NA	dme-miR-137
NA	CG13908	NA	dme-miR-34
NA	CG13908	NA	dme-miR-87
NA	CG13908	NA	dme-miR-981
NA	CG13908	NA	dme-miR-963
NA	CG13908	NA	dme-miR-1014
NA	CG13913	NA	dme-miR-980
NA	CG13913	NA	dme-miR-92
NA	CG13913	NA	dme-miR-310
NA	CG13913	NA	dme-miR-311
NA	CG13913	NA	dme-miR-312
NA	CG13913	NA	dme-miR-313
NA	CG13920	NA	dme-miR-263b
NA	CG13921	NA	dme-miR-957
NA	CG13921	NA	dme-miR-4
NA	CG13923	NA	dme-miR-277
NA	CG13925	NA	dme-miR-315
NA	CG13925	NA	dme-miR-2a-1
NA	CG13925	NA	dme-miR-6
NA	CG13925	NA	dme-miR-11
NA	CG13925	NA	dme-miR-13
NA	CG13925	NA	dme-miR-308
NA	CG13928	NA	dme-miR-277
NA	CG13928	NA	dme-miR-92
NA	CG13928	NA	dme-miR-310
NA	CG13928	NA	dme-miR-311
NA	CG13928	NA	dme-miR-312
NA	CG13928	NA	dme-miR-313
NA	CG13928	NA	dme-miR-1002
NA	CG13928	NA	dme-miR-137
NA	CG13928	NA	dme-miR-956
NA	CG13928	NA	dme-miR-252
NA	CG13932	NA	dme-miR-263b
NA	CG13932	NA	dme-miR-999
NA	CG13933	NA	dme-miR-92
NA	CG13933	NA	dme-miR-310
NA	CG13933	NA	dme-miR-311
NA	CG13933	NA	dme-miR-312
NA	CG13933	NA	dme-miR-313
NA	CG13933	NA	dme-miR-315
NA	CG13936	NA	dme-miR-2a-2
NA	CG13936	NA	dme-miR-2c
NA	CG13937	NA	dme-miR-1000
NA	CG13937	NA	dme-miR-iab4as
NA	CG13950	NA	dme-miR-999
NA	CG13952	NA	dme-miR-277
NA	CG13952	NA	dme-miR-284
NA	CG13952	NA	dme-miR-2a-2
NA	CG13952	NA	dme-miR-2c
NA	CG13953	NA	dme-miR-989
NA	CG13954	NA	dme-miR-969
NA	CG13954	NA	dme-miR-305
NA	CG13954	NA	dme-miR-263a
NA	CG13955	NA	dme-miR-1000
NA	CG13958	NA	dme-miR-974
NA	CG13958	NA	dme-miR-932
NA	CG13970	NA	dme-miR-281-1
NA	CG13972	NA	dme-miR-1014
NA	CG13972	NA	dme-miR-999
NA	CG13978	NA	dme-miR-277
NA	CG13978	NA	dme-miR-281-2-3p
NA	CG13980	NA	dme-miR-277
NA	CG13980	NA	dme-miR-980
NA	CG13980	NA	dme-miR-iab-4-5p
NA	CG13980	NA	dme-miR-987
NA	CG13980	NA	dme-miR-iab4as
NA	CG13981	NA	dme-miR-263b
NA	CG13981	NA	dme-miR-263a
NA	CG1399	NA	dme-miR-263b
NA	CG1399	NA	dme-miR-1
NA	CG1399	NA	dme-miR-92
NA	CG1399	NA	dme-miR-310
NA	CG1399	NA	dme-miR-311
NA	CG1399	NA	dme-miR-312
NA	CG1399	NA	dme-miR-313
NA	CG1399	NA	dme-miR-87
NA	CG13995	NA	dme-miR-965
NA	CG13995	NA	dme-miR-2a-1
NA	CG13995	NA	dme-miR-6
NA	CG13995	NA	dme-miR-11
NA	CG13995	NA	dme-miR-13
NA	CG13995	NA	dme-miR-308
NA	CG13995	NA	dme-miR-4
NA	CG13995	NA	dme-miR-137
NA	CG13995	NA	dme-miR-5
NA	CG13995	NA	dme-miR-315
NA	CG14006	NA	dme-miR-33
NA	CG14010	NA	dme-miR-263b
NA	CG14010	NA	dme-miR-285
NA	CG14010	NA	dme-miR-995
NA	CG14010	NA	dme-miR-998
NA	CG14010	NA	dme-miR-2a-2
NA	CG14010	NA	dme-miR-2c
NA	CG14010	NA	dme-miR-190
NA	CG14015	NA	dme-miR-4
NA	CG14015	NA	dme-miR-987
NA	CG14015	NA	dme-miR-137
NA	CG14015	NA	dme-miR-263a
NA	CG14015	NA	dme-miR-79
NA	CG14015	NA	dme-miR-1002
NA	CG14015	NA	dme-miR-1017
NA	CG14015	NA	dme-miR-252
NA	CG14017	NA	dme-miR-14
NA	CG1402	NA	dme-miR-1000
NA	CG14021	NA	dme-miR-252
NA	CG14021	NA	dme-miR-1002
NA	CG14021	NA	dme-miR-993
NA	CG14021	NA	dme-miR-1007
NA	CG14023	NA	dme-miR-92
NA	CG14023	NA	dme-miR-310
NA	CG14023	NA	dme-miR-311
NA	CG14023	NA	dme-miR-312
NA	CG14023	NA	dme-miR-313
NA	CG14023	NA	dme-miR-989
NA	CG14023	NA	dme-miR-375
NA	CG14023	NA	dme-miR-279
NA	CG14023	NA	dme-miR-286
NA	CG14023	NA	dme-miR-996
NA	CG14035	NA	dme-miR-277
NA	CG14047	NA	dme-miR-277
NA	CG14047	NA	dme-miR-79
NA	CG14047	NA	dme-miR-1017
NA	CG14047	NA	dme-miR-124
NA	CG14047	NA	dme-miR-4
NA	CG14052	NA	dme-miR-14
NA	CG14059	NA	dme-miR-8
NA	CG14059	NA	dme-miR-962
NA	CG14059	NA	dme-miR-184
NA	CG14060	NA	dme-miR-963
NA	CG1407	NA	dme-miR-34
NA	CG14071	NA	dme-miR-958
NA	CG14071	NA	dme-miR-iab-4-5p
NA	CG14073	NA	dme-miR-285
NA	CG14073	NA	dme-miR-995
NA	CG14073	NA	dme-miR-998
NA	CG14073	NA	dme-miR-33
NA	CG14082	NA	dme-miR-281-2-5p
NA	CG14082	NA	dme-miR-31
NA	CG14082	NA	dme-miR-124
NA	CG14082	NA	dme-miR-987
NA	CG14082	NA	dme-miR-284
NA	CG14082	NA	dme-miR-190
NA	CG14095	NA	dme-miR-1011
NA	CG14096	NA	dme-miR-969
NA	CG14101	NA	dme-miR-315
NA	CG14118	NA	dme-miR-315
NA	CG14127	NA	dme-miR-981
NA	CG14127	NA	dme-miR-10-3p
NA	CG14127	NA	dme-miR-1006
NA	CG14127	NA	dme-miR-375
NA	CG14127	NA	dme-miR-1014
NA	CG14131	NA	dme-miR-263a
NA	CG14131	NA	dme-miR-5
NA	CG14131	NA	dme-miR-8
NA	CG14131	NA	dme-miR-994
NA	CG14135	NA	dme-miR-92
NA	CG14135	NA	dme-miR-310
NA	CG14135	NA	dme-miR-311
NA	CG14135	NA	dme-miR-312
NA	CG14135	NA	dme-miR-313
NA	CG14137	NA	dme-miR-281-1
NA	CG14153	NA	dme-miR-263b
NA	CG14160	NA	dme-miR-315
NA	CG14160	NA	dme-miR-263b
NA	CG14160	NA	dme-miR-1011
NA	CG14160	NA	dme-miR-190
NA	CG14160	NA	dme-miR-33
NA	CG14168	NA	dme-miR-277
NA	CG14168	NA	dme-miR-283
NA	CG14168	NA	dme-miR-1000
NA	CG14177	NA	dme-miR-137
NA	CG14180	NA	dme-miR-969
NA	CG14180	NA	dme-miR-315
NA	CG14180	NA	dme-miR-971
NA	CG14182	NA	dme-miR-2a-1
NA	CG14182	NA	dme-miR-6
